Abkhazia,Sokhumi,Georgia
Abruzzo,L'Aquila,Italy
Abu Dhabi,Abu Dhabi,United Arab Emirates
Aegean Coast of Turkey,Izmir,Turkey
Aegean Islands,Chios,Greece
Ajman,Ajman,United Arab Emirates
Al Bahah,Al Bahah,Saudi Arabia
Al Jawf,Sakaka,Saudi Arabia
Al Madinah,Medina,Saudi Arabia
Al Qasim,Buraidah,Saudi Arabia
Al Riyadh,Riyadh,Saudi Arabia
Alabama,Montgomery,USA
Aland,Mariehamn,Finland
Alaska,Juneau,USA
Albanian Coast,Durres,Albania
Alberta,Edmonton,Canada
Alentejo,Evora,Portugal
Algarve,Faro,Portugal
Alsace,Strasbourg,France
Amazonica,Leticia,Colombia
Andalucia,Sevilla,Spain
Andhra Pradesh,Hyderabad,India
Andina,Medellin,Colombia
Anhui,Hefei,China
Aosta Valley,Aosta,Italy
Apulia,Bari,Italy
Aquitaine,Bordeaux,France
Aragon,Zaragoza,Spain
Argentine Northwest,San Miguel de Tucuman,Argentina
Arizona,Phoenix,USA
Arkansas,Little Rock,USA
Asir,Abha,Saudi Arabia
Asturias,Oviedo,Spain
Attica,Athens,Greece
Auckland,Auckland,New Zealand
Auvergne,Clermont-Ferrand,France
Azores,Ponta Delgada,Portugal
Baden-Wurttemberg,Stuttgart,Germany
Baja,Mexicali,Mexico
Balearic Islands,Palma de Mallorca,Spain
Balochistan,Quetta,Pakistan
Banat,Timisoara,Romania
Basilicata,Potenza,Italy
Basque Country,Vitoria Gasteiz,Spain
Bassarabia,Odessa,Ukraine
Bavaria,Munich,Germany
Beersheba South District,Beersheba,Israel
Beijing,Beijing,China
Belgrade,Belgrade,Serbia
Beni and Cochabamba,Trinidad,Bolivia
Bihar,Patna,India
Black Sea Coast of Turkey,Samsun,Turkey
Bohus,Goteborg,Sweden
Bolivian Altiplano,La Paz,Bolivia
Brcko District,Brcko,Bosnia and Herzegovina
Brandenburg and Berlin,Berlin,Germany
Bratislava,Bratislava,Slovakia
Brestskaya,Brest,Belarus
British Columbia,Victoria,Canada
Brittany,Rennes,France
Brussels,Brussels,Belgium
Bucovina,Botosani,Romania
Bukovyna,Chernivtsi,Ukraine
Burgas,Burgas,Bulgaria
Burgenland,Eisenstadt,Austria
Burgundy,Dijon,France
Calabria,Catanzaro,Italy
California,Sacramento,USA
Campania,Naples,Italy
Canary Islands,Las Palmas de Gran Canaria,Spain
Cantabria,Santander,Spain
Canterbury,Canterbury,New Zealand
Caribe e Insular,Cartagena,Mexico
Carinthia,Klagenfurt,Austria
Castilla La Mancha,Toledo,Spain
Castilla y Leon,Valladolid,Spain
Catalonia,Barcelona,Spain
Center West of Brazil,Brasília,Brazil
Central Anatolia,Ankara,Turkey
Central Armenia,Yerevan,Armenia
Central Black Earth,Voronezh,Russia
Central Croatia,Zagreb,Croatia
Central East Chaco,Pozo Colorado,Paraguay
Central Greece,Lamia,Greece
Central Hungary,Budapest,Hungary
Central Montenegro,Podgorica,Montenegro
Central Slovakia,Zilina,Slovakia
Central Taiwan,Taichung,Republic of China (Taiwan)
Central Thailand,Bangkok,Thailand
Central Transdanubia,Szekesfehervar,Hungary
Central Venezuela,Valencia (Venezuela),Venezuela
Central Western Venezuela,Barquisimeto,Venezuela
Centro,Coimbra,Portugal
Chagang,Kanggye,North Korea
Champagne Ardenne,Chalons-en-Champagne,France
Charrua,Montevideo,Uruguay
Chhattisgarh,Raipur,India
Chimor,Trujillo,Peru
Chisinau,Chisinau,Republic of Moldova
Chongqing,Chongqing,China
Chubu,Nagoya,Japan
Chugoku,Hiroshima,Japan
Chungcheongbuk-do,Cheongju,South Korea
Chungcheongnam-do,Daejeon,South Korea
Chuquisaca and Tarija,Tarija,Bolivia
Colorado,Denver,USA
Connecticut,Hartford,USA
Cork,Cork,Ireland
Corsica,Ajaccio,France
Crete,Heraklion,Greece
Crisana,Oradea,Romania
Cundiboyacense,Bogota,Colombia
Cuyo,Mendoza,Argentina
Dainava,Vilnius,Lithuania
Delaware,Dover,USA
Deutschschweiz,Bern,Switzerland
District of Columbia,Washington D.C.,USA
Dnipro,Kiev,Ukraine
Dobrogea,Constanta,Romania
Donbas,Donetsk,Ukraine
Dubai,Dubai,United Arab Emirates
Dublin,Dublin,Ireland
East Midlands,Nottingham,UK
East of England,Norwich,UK
East Srpska Republic,Bijeljina,Bosnia and Herzegovina
Eastern Anatolia,Erzurum,Turkey
Eastern Cape,Bhisho,South Africa
Eastern Finland,Mikkeli,Finland
Eastern Macedonia,Stip,Republic of Macedonia (FYROM)
Eastern Netherlands,Arnhem,Netherlands
Eastern Province,Dammam,Saudi Arabia
Eastern Serbia,Zajecar,Serbia
Eastern Siberia,Krasnoyarsk,Russia
Eastern Slovakia,Kosice,Slovakia
Eastern Taiwan,Taitung,Republic of China (Taiwan)
Eastern Thailand,Rayong,Thailand
Emilia-Romagna,Bologna,Italy
Epirus,Ioannina,Greece
Esfahan,Isfahan,Iran
Extremadura,Merida,Spain
Far Eastern Russia,Khabarovsk,Russia
Fars,Shiraz,Iran
Federation of BiH,Sarajevo,Bosnia and Herzegovina
Flanders,Antwerp,Belgium
Florida,Tallahassee,USA
Franche-comte,Besancon,France
Free State,Bloemfontein,South Africa
Friuli-Venezia Giulia,Trieste,Italy
Fujairah,Fujairah,United Arab Emirates
Fujian,Fuzhou,China
Galicia,Santiago de Compostela,Spain
Galicia and Lodomeria,Lviv,Ukraine
Gangwon-do,Chuncheon,South Korea
Gansu,Lanzhou,China
Gauteng,Pretoria,South Africa
Gegharkunik,Gavar,Armenia
Georgia,Atlanta,USA
Gotaland,Orebro,Sweden
Gotland,Visby,Sweden
Graubunden,Chur,Switzerland
Great Andes,Cusco,Peru
Great Poland,Poznan,Poland
Guangdong,Guangzhou,China
Guangxi,Nanning,China
Guayana,Puerto Ayacucho,Venezuela
Guizhou,Guiyang,China
Gujarat,Gandhinagar,India
Gulf of Mexico,Veracruz,Mexico
Gyeonggi-do,Seoul,South Korea
Gyeongsangbuk-do,Daegu,South Korea
Gyeongsangnam-do,Changwon,South Korea
Ha'il,Ha'il,Saudi Arabia
Haifa district,Haifa,Israel
Hainan,Haikou,China
Hamgyong,Hamhung,North Korea
Hawaii,Honolulu,USA
Heilongjiang,Harbin,China
Henan,Zhengzhou,China
Hesse,Wiesbaden,Germany
Hokkaido,Sapporo,Japan
Homelskaya,Gomel,Belarus
Hormozgan,Bandar Abbas,Iran
Hovedstaden,Copenhagen,Denmark
Hrodzienskaya,Hrodna,Belarus
Hubei,Wuhan,China
Hunan,Changsha,China
Hwangae,Sariwŏn,North Korea
Idaho,Boise,USA
Illinois,Springfield,USA
Indiana,Indianapolis,USA
Inner Carniola,Postojna,Slovenia
Inner Kartli,Tbilisi,Georgia
Inner Mongolia,Hohhot,China
Ionian Islands,Corfu,Greece
Iowa,Des Moines,USA
Istria and Kvarner,Rijeka,Croatia
Jammu and Kashmir,Srinagar,India
Jamtland Harjedalen,Ostersund,Sweden
Java,Jakarta,Indonesia
Jeju,Jeju City,South Korea
Jeollabuk-do,Jeonju,South Korea
Jeollanam-do,Muan,South Korea
Jerusalem district,Jerusalem,Israel
Jharkhand,Ranchi,India
Jiangsu,Nanjing,China
Jiangxi,Nanchang,China
Jilin,Changchun,China
Jizan,Jizan,Saudi Arabia
Kalimantan,Samarinda,Indonesia
Kaliningrad,Kaliningrad,Russia
Kakheti,Telavi,Georgia
Kangwon,Wonsan,North Korea
Kansas,Topeka,USA
Kanto,Tokyo,Japan
Karnataka,Bangalore,India
Kentucky,Frankfort,USA
Kerala,Thiruvananthapuram,India
Kerman Province,Kerman,Iran
Kesk-Eesti,Viljandi,Estonia
Kinki,Osaka,Japan
Kirde-Eesti,Narva,Estonia
Kosovo,Pristina,Serbia
Kurzeme,Liepaja,Latvia
KwaZulu Natal,Pietermaritzburg,South Africa
Kyushu,Fukuoka,Japan
La Rioja,Logrono,Spain
Laane-Eesti,Parnu,Estonia
Languedoc Roussillon,Montpellier,France
Lapland,Rovaniemi,Finland
Latgale,Daugavpils,Latvia
Lazio,Rome,Italy
Las Villas,Santa Clara,Cuba
Leningrad Oblast,St Petersburg,Russia
Lesser Sunda Islands,Mataram,Indonesia
Liaoning,Shenyang,China
Liguria,Genoa,Italy
Lika and Gorski Kotar,Karlovac,Croatia
Lima,Lima DC,Peru
Limousin,Limoges,France
Limpopo,Polokwane,South Africa
Lisboa,Lisbon,Portugal
Lithuania Minor,Klaipeda,Lithuania
Lithuanian Highland,Panevezys,Lithuania
Little Poland,Krakow,Poland
Llanos,San Juan de Los Morros,Venezuela
Loire Valley,Orleans,France
Lombardy,Milan,Italy
London,London,UK
Lorraine,Metz,France
Louisiana,Baton Rouge,USA
Louna-Eesti,Tartu,Estonia
Louth,Dundalk,Ireland
Low Andes,Arequipa,Peru
Lower Austria,Vienna,Austria
Lower Carniola,Ljubljana,Slovenia
Lower Egypt,Cairo,Egypt
Lower Kartli,Akhaltsikhe,Georgia
Lower Normandy,Caen,France
Lower Saxony and Bremen,Bremen,Germany
Luzon,Manila,Philippines
Macedonia,Thessaloniki,Greece
Madeira,Funchal,Portugal
Madhya Pradesh,Bhopal,India
Madrid,Madrid,Spain
Maharashtra,Mumbai,India
Mahilyowskaya,Mahilyow,Belarus
Maine,Augusta,USA
Makkah,Mecca,Saudi Arabia
Maluku islands,Ambon,Indonesia
Manitoba,Winnipeg,Canada
Maramures,Baia Mare,Romania
Marche,Ancona,Italy
Marmara,Istanbul,Turkey
Maryland,Annapolis,USA
Massachusetts,Boston,USA
Mayo,Castlebar,Ireland
Mazandaran and Golistan,Gorgan,Iran
Mazovia,Warsaw,Poland
Mazuria,Olsztyn,Poland
Mecklenburg-Western Pomerania,Schwerin,Germany
Mediterranean Coast of Turkey,Antalya,Turkey
Mesopotamia,Corrientes,Argentina
Michigan,Lansing,USA
Mid Andes,Ica,Peru
Middle Egypt,Amarna,Egypt
Midi-Pyrenees,Toulouse,France
Midtjylland,Viborg,Denmark
Mindanao,Davao,Philippines
Minnesota,Saint Paul,USA
Minskaya,Minsk,Belarus
Mississippi,Jackson,USA
Missouri,Jefferson City,USA
Moldova,Iasi,Romania
Molise,Campobasso,Italy
Montana,Helena,USA
Montenegrin Coast,Bar,Montenegro
Moravia,Brno,Czech Republic
Moscow and Central Russia,Moscow,Russia
Mpumalanga,Nelspruit,South Africa
Muntenia,Bucharest,Romania
Murcia,Murcia,Spain
Najran,Najran,Saudi Arabia
Navarra,Pamplona,Spain
Nazareth North District,Nazareth,Israel
Nebraska,Lincoln,USA
Nevada,Carson City,USA
New Brunswick,Fredericton,Canada
New Hampshire,Concord,USA
New Jersey,Trenton,USA
New Mexico,Santa Fe,USA
New South Wales,Canberra,Australia
New York,Albany,USA
Newfoundland and Labrador,St. Johns,Canada
Ningxia,Yinchuan,China
Nord-Norge,Tromso,Norway
Nordjylland,Aalborg,Denmark
Norrland and Sameland,Umea,Sweden
Norte,Porto,Portugal
Norte Chico,La Serena,Chile
Norte Grande,Antofagasta,Chile
North Calais,Lille,France
North Carolina,Raleigh,USA
North Caucasus,Rostov on Don,Russia
North Dakota,Bismarck,USA
North Dalmatia,Zadar,Croatia
North East of England,Newcastle upon Tyne,UK
North East States,Maiduguri,Nigeria
North Eastern India,Shillong,India
North Eastern Venezuela,Barcelona (Venezuela),Venezuela
North Montenegrin Mountains,Pljevlja,Montenegro
North of Brazil,Manaus,Brazil
North Rhine-Westphalia,Dusseldorf,Germany
North West of England,Manchester,UK
North West Province,Mmabatho,South Africa
North-Eastern Thailand,Khon Kaen,Thailand
North-West Frontier Province,Peshawar,Pakistan
North Central States,Abuja,Nigeria
Northeast of Brazil,Salvador,Brazil
Northeast of Mexico,Monterrey,Mexico
Northern Armenia,Gyumri,Armenia
Northern Basarabia,Balti,Republic of Moldova
Northern Bohemia,Prague,Czech Republic
Northern Borders,Arar,Saudi Arabia
Northern Cape,Kimberley,South Africa
Northern Cyprus,Famagusta,Cyprus
Northern Great Plain,Debrecen,Hungary
Northern Hungary,Miskolc,Hungary
Northern India,New Delhi,India
Northern Ireland,Belfast,UK
Northern Low Amazon,Iquitos,Peru
Northern Netherlands,Groningen,Netherlands
Northern Russia,Arhangelsk,Russia
Northern Taiwan,Taipei,Republic of China (Taiwan)
Northern Territory,Darwin,Australia
Northern Thailand,Chiang Mai,Thailand
Northwest Croatia,Varazdin,Croatia
Northwest of Mexico,Culiacan,Mexico
Northwest Territories,Yellowknife,Canada
Northwestern Iran,Tehran,Iran
North West States,Kano,Nigeria
Nova Scotia,Halifax,Canada
Nunavut,Iqaluit,Canada
Oaxaca,Oaxaca,Mexico
Ohio,Columbus,USA
Oklahoma,Oklahoma City,USA
Oltenia,Craiova,Romania
Ontario,Ottawa,Canada
Oregon,Salem,USA
Oriente,Santiago de Cuba,Cuba
Orinoquia,Villavicencio,Colombia
Orissa,Bhubaneswar,India
Ostlandet,Oslo,Norway
Otago,Otago,New Zealand
Oulu,Oulu,Finland
Pacific Coast of Mexico,Guadalajara,Mexico
Pacifica,Cali,Colombia
Palawan,Puerto Princesa,Philippines
Pampas,Buenos Aires,Argentina
Pando,Cobija,Bolivia
Papua,Jayapura,Indonesia
Parana and Santa Catarina,Curitiba,Brazil
Paranena,Asuncion,Paraguay
Paris Isle of France,Paris,France
Patagonia,Neuquen,Argentina
Pays de la Loire,Nantes,France
Peloponnese,Tripoli,Greece
Peninsular Malaysia,Kuala Lumpur,Malaysia
Pennsylvania,Harrisburg,USA
Picardy,Amiens,France
Piedmont,Turin,Italy
Plovdiv,Plovdiv,Bulgaria
Podolia,Kamianets-Podilskyi,Ukraine
Pohja-Eesti,Tallinn,Estonia
Poitou Charentes,Poitiers,France
Polisia,Zhytomyr,Ukraine
Pomerania,Gdansk,Poland
Povardarie,Skopje,Republic of Macedonia (FYROM)
Prekmurje,Murska Sobota,Slovenia
Prince Edward Island,Charlottetown,Canada
Provence Alpes Azur,Marseille,France
Punjab,Islamabad,Pakistan
Pyongan,Pyongyang,North Korea
Qinghai,Xining,China
Quebec,Quebec City,Canada
Queensland,Brisbane,Australia
Rajasthan,Jaipur,India
Ras al-Khaimah,Ras al-Khaimah,United Arab Emirates
Raska,Kraljevo,Serbia
Razavi Khorasan,Mashhad,Iran
Red Sea Coast,Hurghada,Egypt
Rhineland-Palatinate,Mainz,Germany
Rhode Island,Providence,USA
Rhone Alps,Lyon,France
Rio Grande do Sul,Porto Alegre,Brazil
Romandie,Geneva,Switzerland
Ruse,Ruse,Bulgaria
Ryanggang,Hyesan,North Korea
Saarland,Saarbrucken,Germany
Sabah,Kota Kinabalu,Malaysia
Salzburg,Salzburg,Austria
Samogitia,Telsiai,Lithuania
Santa Cruz,Santa Cruz,Bolivia
Sarawak,Kuching,Malaysia
Sardinia,Cagliari,Italy
Saskatchewan,Regina,Canada
Saxony,Dresden,Germany
Saxony-Anhalt,Magdeburg,Germany
Scania,Malmo,Sweden
Schleswig-Holstein and Hamburg,Hamburg,Germany
Scotland,Edinburgh,UK
Semnan,Semnan,Iran
Shaanxi,Xi'an,China
Shandong,Jinan,China
Shanghai,Shanghai,China
Shannon,Limerick,Ireland
Shanxi,Taiyuan,China
Sharjah,Sharjah,United Arab Emirates
Shikoku,Matsuyama,Japan
Sichuan,Chengdu,China
Sicily,Palermo,Italy
Silesia,Wroclaw,Poland
Sinai,Dahab,Egypt
Sindh,Karachi,Pakistan
Singapore City,Downtown Core,Singapore
Sistan and Baluchistan,Zahedan,Iran
Siveria,Chernihiv,Ukraine
Sjaelland,Soro,Denmark
Slavonia,Osijek,Croatia
Sloboda,Kharkiv,Ukraine
Slovenian Littoral,Nova Gorica,Slovenia
Smaland,Jonkoping,Sweden
Sofia,Sofia,Bulgaria
Sorlandet,Kristiansand,Norway
South Australia,Adelaide,Australia
South Carolina,Columbia,USA
South Dakota,Pierre,USA
South Dalmatia,Split,Croatia
South East Chaco,Formosa,Argentina
South East of England,Oxford,UK
South East States,Awka,Nigeria
South Khorasan,Birjand,Iran
South South States,Port Harcourt,Nigeria
South West States,Lagos,Nigeria
South West of England,Bristol,UK
Southeast of Brazil,Sao Paulo,Brazil
Southeast of Mexico,Campeche,Mexico
Southeastern Albania,Berat,Albania
Southeastern Anatolia,Diyarbakir,Turkey
Southern Basarabia,Cahul,Republic of Moldova
Southern Bohemia,Plzen,Czech Republic
Southern Cyprus,Nicosia,Cyprus
Southern Finland,Helsinki,Finland
Southern Great Plain,Szeged,Hungary
Southern Low Amazon,Pucallpa,Peru
Southern Netherlands,Maastricht,Netherlands
Southern Serbia,Nis,Serbia
Southern Taiwan,Kaohsiung,Republic of China (Taiwan)
Southern Thailand,Hat Yai,Thailand
Southern Transdanubia,Pecs,Hungary
Southwestern Iran,Ahvaz,Iran
Styria,Graz,Austria
Styria and Carinthia,Maribor,Slovenia
Subcarpathia,Uzhhorod,Ukraine
Sudovia,Marijampole,Lithuania
Sulawesi,Palu,Indonesia
Sumadija,Kragujevac,Serbia
Sumatra,Medan,Indonesia
Svalbard & Jan Mayen,Longyearbyen,Norway
Svealand,Stockholm,Sweden
Svizzera italiana,Bellinzona,Switzerland
Syddanmark,Vejle,Denmark
Syunik,Kapan,Armenia
Tabuk,Tabuk,Saudi Arabia
Tamil Nadu,Chennai,India
Tasmania,Hobart,Australia
Taurida,Simferopol,Ukraine
Tel Aviv Center District,Tel Aviv,Israel
Tennessee,Nashville,USA
Texas,Austin,USA
Thessaly,Larissa,Greece
Thrace,Alexandroupoli,Greece
Thuringia,Erfurt,Germany
Tibet,Lhasa,China
Tirana,Tirana,Albania
Tohoku,Sendai,Japan
Transilvania,Cluj-Napoca,Romania
Transnistria,Tiraspol,Republic of Moldova
Trentino-South Tyrol,Trento,Italy
Trondelag,Trondheim,Norway
Tuscany,Florence,Italy
Tyrol,Innsbruck,Austria
Umbria,Perugia,Italy
Umm al Quwain,Falaj Al Moalla,United Arab Emirates
Upper Austria,Linz,Austria
Upper Carniola,Kranj,Slovenia
Upper Egypt,Luxor,Egypt
Upper Normandy,Rouen,France
Urals,Yekaterinburg,Russia
Utah,Salt Lake City,USA
Uttar Pradesh,Lucknow,India
Valencian Community,Valencia,Spain
Valley of Mexico,Mexico City,Mexico
Varna,Varna,Bulgaria
Veneto,Venice,Italy
Venezuelan Andean,Barinas,Venezuela
Venezuelan Capital,Caracas,Venezuela
Vermont,Montpelier,USA
Vestlandet,Bergen,Norway
Victoria,Melbourne,Australia
Vidin,Vidin,Bulgaria
Vidzeme,Riga,Latvia
Virginia,Richmond,USA
Visayas,Cebu,Philippines
Vitsebskaya,Vitsebsk,Belarus
Vojvodina,Novi Sad,Serbia
Volga,Volgograd,Russia
Volga Vyatka,Nizhny Novgorod,Russia
Volhynia,Rivne,Ukraine
Vorarlberg,Bregenz,Austria
Wales,Cardiff,UK
Wallonia,Namur,Belgium
Washington,Olympia,USA
Wellington,Wellington,New Zealand
West Bengal,Calcutta,India
West Georgia,Kutaisi,Georgia
West Midlands,Birmingham,UK
West Srpska Republic,Banja Luka,Bosnia and Herzegovina
West Virginia,Charleston,USA
Western Australia,Perth,Australia
Western Cape,Cape Town,South Africa
Western Cuba,Havana,Cuba
Western Desert,Siwa,Egypt
Western Finland,Turku,Finland
Western Macedonia,Tetovo,Republic of Macedonia (FYROM)
Western Netherlands,Amsterdam,Netherlands
Western Serbia,Uzice,Serbia
Western Siberia,Novosibirsk,Russia
Western Slovakia,Nitra,Slovakia
Western Transdanubia,Gyor,Hungary
Wexford,Waterford,Ireland
Wisconsin,Madison,USA
Wyoming,Cheyenne,USA
Xinjiang,Urumqi,China
Yazd,Yazd,Iran
Yorkshire & Humberside,Leeds,UK
Yukon,Whitehorse,Canada
Yunnan,Kunming,China
Zaporozhia,Zaporizhia,Ukraine
Zemgale,Jelgava,Latvia
Zhejiang,Hangzhou,China
Zona Austral,Punta Arenas,Chile
Zona Central,Santiago,Chile
Zona Sur,Temuco,Chile
Zulian,Maracaibo,Venezuela
